code,date,open,close,high,low,volume
SH.688122,2021-12-01 11:30:00,94.09,94.75,94.75,93.4,454400.0
SH.688122,2021-12-01 13:30:00,94.47,93.5,94.74,93.13,397700.0
SH.688122,2021-12-01 14:00:00,93.5,93.0,93.61,92.88,818100.0
SH.688122,2021-12-01 14:30:00,93.06,93.05,93.41,93.05,469100.0
SH.688122,2021-12-01 15:00:00,93.03,93.97,93.97,92.73,479600.0
SH.688122,2021-12-02 10:00:00,93.97,91.7,93.97,91.5,995500.0
SH.688122,2021-12-02 10:30:00,91.66,91.25,91.89,90.73,893500.0
SH.688122,2021-12-02 11:00:00,91.25,90.51,91.5,89.8,1011100.0
SH.688122,2021-12-02 11:30:00,90.64,92.03,92.26,90.33,695600.0
SH.688122,2021-12-02 13:30:00,92.09,91.78,92.25,91.46,410200.0
SH.688122,2021-12-02 14:00:00,91.7,91.38,92.17,91.12,324300.0
SH.688122,2021-12-02 14:30:00,91.23,91.28,91.5,90.99,314300.0
SH.688122,2021-12-02 15:00:00,91.37,91.79,91.85,91.21,433100.0
SH.688122,2021-12-03 10:00:00,92.0,93.08,94.05,90.11,1040600.0
SH.688122,2021-12-03 10:30:00,93.2,92.09,93.36,91.7,416000.0
SH.688122,2021-12-03 11:00:00,92.0,92.61,92.96,91.7,301000.0
SH.688122,2021-12-03 11:30:00,92.92,93.01,93.89,92.77,488000.0
SH.688122,2021-12-03 13:30:00,93.03,93.1,93.25,91.59,391800.0
SH.688122,2021-12-03 14:00:00,93.16,92.2,93.87,92.12,286400.0
SH.688122,2021-12-03 14:30:00,92.15,93.28,93.46,91.95,631100.0
SH.688122,2021-12-03 15:00:00,93.28,93.01,93.34,92.48,367500.0
SH.688122,2021-12-06 10:00:00,92.88,92.68,94.65,91.45,994900.0
SH.688122,2021-12-06 10:30:00,92.77,91.46,92.77,90.61,1176800.0
SH.688122,2021-12-06 11:00:00,91.42,92.4,92.52,91.02,522800.0
SH.688122,2021-12-06 11:30:00,92.41,92.02,92.79,91.68,666300.0
SH.688122,2021-12-06 13:30:00,92.11,91.45,92.22,91.0,513400.0
SH.688122,2021-12-06 14:00:00,91.27,90.74,91.79,90.69,386700.0
SH.688122,2021-12-06 14:30:00,90.71,91.3,91.59,90.66,461600.0
SH.688122,2021-12-06 15:00:00,91.12,90.28,91.54,90.28,484200.0
SH.688122,2021-12-07 10:00:00,90.5,90.04,92.02,89.08,800700.0
SH.688122,2021-12-07 10:30:00,89.8,88.25,89.93,88.24,507000.0
SH.688122,2021-12-07 11:00:00,88.25,87.2,88.71,87.01,875800.0
SH.688122,2021-12-07 11:30:00,87.24,88.34,88.78,87.24,699100.0
SH.688122,2021-12-07 13:30:00,88.45,87.19,88.77,87.09,849300.0
SH.688122,2021-12-07 14:00:00,87.2,86.44,88.6,86.23,1466700.0
SH.688122,2021-12-07 14:30:00,86.51,86.5,87.35,86.2,1021500.0
SH.688122,2021-12-07 15:00:00,86.56,87.89,88.5,86.44,840100.0
SH.688122,2021-12-08 10:00:00,88.86,89.38,89.66,88.0,720800.0
SH.688122,2021-12-08 10:30:00,89.42,89.66,90.29,89.0,686700.0
SH.688122,2021-12-08 11:00:00,89.68,89.9,89.98,88.7,501400.0
SH.688122,2021-12-08 11:30:00,89.89,89.9,90.5,89.51,395000.0
SH.688122,2021-12-08 13:30:00,90.06,88.96,90.06,88.74,275900.0
SH.688122,2021-12-08 14:00:00,88.96,89.74,89.8,88.9,205000.0
SH.688122,2021-12-08 14:30:00,89.78,89.78,89.98,89.35,291000.0
SH.688122,2021-12-08 15:00:00,89.78,89.64,89.92,89.3,345000.0
SH.688122,2021-12-09 10:00:00,89.64,87.36,90.19,86.53,889600.0
SH.688122,2021-12-09 10:30:00,87.36,87.0,87.89,86.35,775400.0
SH.688122,2021-12-09 11:00:00,87.06,87.39,87.97,86.4,689700.0
SH.688122,2021-12-09 11:30:00,87.34,88.18,88.69,86.99,803900.0
SH.688122,2021-12-09 13:30:00,88.18,88.31,88.59,87.2,531800.0
SH.688122,2021-12-09 14:00:00,88.35,88.41,88.85,87.91,624700.0
SH.688122,2021-12-09 14:30:00,88.34,88.18,88.49,87.95,634400.0
SH.688122,2021-12-09 15:00:00,88.15,88.1,88.3,87.81,398700.0
SH.688122,2021-12-10 10:00:00,87.35,88.69,88.9,87.0,854900.0
SH.688122,2021-12-10 10:30:00,88.6,88.51,89.55,88.31,823500.0
SH.688122,2021-12-10 11:00:00,88.51,90.02,90.2,87.79,881100.0
SH.688122,2021-12-10 11:30:00,90.12,91.11,91.63,90.12,1181700.0
SH.688122,2021-12-10 13:30:00,91.1,90.3,91.87,90.15,1120700.0
SH.688122,2021-12-10 14:00:00,90.31,91.1,91.17,90.22,988500.0
SH.688122,2021-12-10 14:30:00,91.03,91.94,92.29,90.9,1566800.0
SH.688122,2021-12-10 15:00:00,91.94,89.1,92.64,89.1,1523000.0
SH.688122,2021-12-13 10:00:00,90.3,91.42,92.0,89.28,1534600.0
SH.688122,2021-12-13 10:30:00,91.48,90.61,91.48,89.1,1135600.0
SH.688122,2021-12-13 11:00:00,90.61,91.89,92.99,90.56,1098000.0
SH.688122,2021-12-13 11:30:00,92.0,92.73,92.79,91.61,377900.0
SH.688122,2021-12-13 13:30:00,92.79,92.06,92.79,90.69,955700.0
SH.688122,2021-12-13 14:00:00,92.06,92.49,92.78,92.02,588200.0
SH.688122,2021-12-13 14:30:00,92.46,91.88,92.57,91.77,537500.0
SH.688122,2021-12-13 15:00:00,91.89,91.28,92.11,91.0,646000.0
